,CITY,CLOUDINESS,COUNTRY,DATE,HUMIDITY,LAT,LNG,MAX TEMP,WIND SPEED
0,Mataura,100,NZ,1619465169,88,-46.1927,168.8643,39.99,1.01
1,Castaños,100,MX,1619465169,14,26.7833,-101.4167,95.72,7.09
2,Mar del Plata,0,AR,1619465029,67,-38.0023,-57.5575,62.6,10.36
3,Cape Town,75,ZA,1619465160,72,-33.9258,18.4232,64.99,16.11
4,Pundaguitan,100,PH,1619465169,75,6.3711,126.1689,80.8,5.84
5,Puerto Ayora,40,EC,1619464973,65,-0.7393,-90.3518,84.2,16.11
6,Guarda,33,PT,1619465170,75,40.5373,-7.2658,60.01,3.0
7,Ribeira Grande,75,PT,1619465170,72,38.5167,-28.7,62.6,8.05
8,Bluff,61,NZ,1619465170,88,-46.6,168.3333,39.99,1.01
9,Port Lincoln,94,AU,1619465170,79,-34.7333,135.8667,60.28,5.26
10,Severo-Kuril'sk,100,RU,1619465171,94,50.6789,156.125,30.29,22.64
11,Busselton,100,AU,1619465171,91,-33.65,115.3333,57.0,1.19
12,Tura,100,IN,1619465171,26,25.5198,90.2201,79.47,3.2
13,Ambunti,87,PG,1619465171,99,-4.2365,142.8448,72.46,0.13
14,Port Alfred,100,ZA,1619464965,83,-33.5906,26.891,68.61,12.1
15,Albany,1,US,1619464807,29,42.6001,-73.9662,55.0,7.0
16,Pangai,75,TO,1619465172,83,-19.8,-174.35,80.6,5.75
17,Kasama,100,ZM,1619465172,81,-10.2129,31.1808,65.71,4.61
18,Scarborough,93,GB,1619465117,75,54.2797,-0.4044,45.0,4.0
19,Kapaa,40,US,1619464960,73,22.0752,-159.319,77.0,12.66
20,Homer,1,US,1619465172,35,59.6425,-151.5483,55.4,5.75
21,Punta Arenas,90,CL,1619464949,100,-53.15,-70.9167,44.6,9.22
22,Bud,1,US,1619465173,37,39.447,-86.1758,73.99,13.8
23,Clyde River,90,CA,1619464997,100,70.4692,-68.5914,24.8,5.19
24,Saldanha,47,ZA,1619465173,94,-33.0117,17.9442,60.8,21.85
25,Ryōtsu-minato,1,JP,1619465173,58,38.0833,138.4333,42.42,5.19
26,Tessalit,18,ML,1619465174,6,20.1986,1.0114,96.4,8.41
27,General Roca,0,AR,1619465076,53,-39.0333,-67.5833,71.6,4.61
28,Richards Bay,29,ZA,1619465174,89,-28.783,32.0377,67.19,4.41
29,Airai,100,TL,1619465174,76,-8.9266,125.4092,55.76,1.03
30,Pangkalanbuun,34,ID,1619465174,96,-2.6833,111.6167,74.61,1.61
31,Avarua,40,CK,1619465175,89,-21.2078,-159.775,78.8,3.44
32,La Providencia,1,MX,1619465175,54,28.7167,-111.5833,84.0,11.99
33,Dikson,100,RU,1619465175,98,73.5069,80.5464,31.77,19.26
34,Arraial do Cabo,40,BR,1619465176,78,-22.9661,-42.0278,78.8,10.36
35,Pevek,95,RU,1619465176,94,69.7008,170.3133,15.13,2.77
36,Souillac,75,MU,1619465176,83,-20.5167,57.5167,78.8,14.97
37,Tuktoyaktuk,1,CA,1619464955,72,69.4541,-133.0374,8.6,18.41
38,College,75,US,1619465176,40,64.8569,-147.8028,50.0,2.17
39,Rikitea,43,PF,1619465177,76,-23.1203,-134.9692,76.96,8.01
40,Comodoro Rivadavia,0,AR,1619464942,40,-45.8667,-67.5,68.0,12.66
41,Thompson,75,CA,1619465177,49,55.7435,-97.8558,46.4,9.22
42,Rauma,90,FI,1619465177,70,61.1272,21.5113,39.2,10.36
43,Coquimbo,75,CL,1619465177,77,-29.9533,-71.3436,60.8,9.22
44,Scharnstein,26,AT,1619465178,43,47.9044,13.9601,51.8,10.36
45,Goderich,100,CA,1619464961,65,43.7501,-81.7165,37.4,6.91
46,Ishinomaki,5,JP,1619465178,67,38.4167,141.3,38.79,7.9
47,Tasiilaq,75,GL,1619465178,75,65.6145,-37.6368,39.2,9.93
48,Newport,100,GB,1619465179,50,51.5877,-2.9984,53.6,8.05
49,Butaritari,85,KI,1619465179,74,3.0707,172.7902,83.19,13.76
50,Hobart,1,AU,1619465161,87,-42.8794,147.3294,48.0,5.93
51,Atuona,44,PF,1619465179,74,-9.8,-139.0333,79.74,14.05
52,Murdochville,100,CA,1619465179,100,48.9583,-65.5006,39.2,24.16
53,Leningradskiy,70,RU,1619465180,95,69.3833,178.4167,23.88,4.56
54,Vila Velha,0,BR,1619465054,74,-20.3297,-40.2925,82.99,12.66
55,Morondava,27,MG,1619465180,78,-20.2833,44.2833,79.81,11.77
56,Rørvik,40,NO,1619465180,81,64.8621,11.2373,37.4,6.91
57,Castro,10,BR,1619465181,55,-24.7911,-50.0119,70.77,6.93
58,St. George's,20,GD,1619465181,70,12.0564,-61.7485,84.2,23.02
59,Aberdeen,40,GB,1619465181,93,57.1437,-2.0981,46.4,3.44
60,Doha,0,QA,1619464996,58,25.2867,51.5333,84.99,5.75
61,Talaya,34,RU,1619465181,96,61.3833,152.75,-7.13,3.2
62,Touros,40,BR,1619465182,70,-5.1989,-35.4608,84.2,12.66
63,Nauta,56,PE,1619465182,56,-4.5061,-73.5757,88.43,4.05
64,Totness,95,SR,1619465116,79,5.8833,-56.3167,80.64,12.41
65,Kaitangata,72,NZ,1619465182,84,-46.2817,169.8464,39.99,4.0
66,Mishan,98,CN,1619465182,84,45.55,131.8833,39.47,4.74
67,Mayya,20,RU,1619465183,86,61.7333,130.2811,33.8,4.47
68,Mitsamiouli,27,KM,1619465183,72,-11.3847,43.2844,81.43,8.63
